(Assault Rifle, Header)
(AR-23 Liberator, True)
(AR-23C Liberator Concussive, True)
(StA-52 Assault Rifle, False)
(AR-23A Liberator Carbine, True)
(AR-61 Tenderizer, True)
(AR-32 Pacifier, True)
(AR-23P Liberator Penetrator, True)
(BR-14 Adjudicator, True)

(Marksman Rifle, Header)
(R-2 Amendment, True)
(R-63 Diligence, True)
(R-2124 Consitiution, False)
(R-6 Deadeye, True)
(R-63CS Diligence Counter Sniper, True)

(Submachine Gun, Header)
(MP-98 Knight, False)
(StA-11 SMG, False)
(SMG-37 Defender, True)
(SMG-72 Pummeler, True)
(SMG-32 Reprimand, True)

(Shotgun, Header)
(SG-8 Punisher, True)
(SG-451 Cookout, True)
(SG-225 Breaker, True)
(SG-225SP Breaker Spray & Pray, True)
(SG-225IE Breaker Incendiary, True)
(SG-8S Slugger, True)
(SG-20 Halt, True)

(Explosive, Header)
(CB-9 Exploding Crossbow, True)
(R-36 Eruptor, True)

(Energy Based, Header)
(LAS-5 Scythe, True)
(LAS-16 Sickle, True)
(PLAS-39 Accelerator Rifle, False)
(SG-8P Punisher Plasma, True)
(ARC-12 Blitzer, True)
(PLAS-1 Scorcher, True)
(PLAS-101 Purifier, True)
(LAS-17 Double-Edge Sickle, True)

(Special, Header)
(JAR-5 Dominator, True)
(FLAM-66 Torcher, True)
